# JPL Horizons replies, recorded once by tools/horizons-fetch.py.
# name	expect	sha256	url
mars-1700	ok	ca4020b1fda6557d7f0fe0dd87ef4decf5670d0399d8e4282d27803db250a3fa	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%27499%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271700-JAN-01%2011:55:0.000000%27&STOP_TIME=%271700-JAN-01%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
sun-topo	ok	9b3223e70c8c0a711af219ae9af6c760357e4da819b5b006530dfb4baeecfda6	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%2710%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27coord@399%27&COORD_TYPE=%27GEODETIC%27&SITE_COORD=%27-71.059800,42.358400,0.010000%27&START_TIME=%271990-JUN-15%2011:55:0.000000%27&STOP_TIME=%271990-JUN-15%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
jupiter-bary-1990	ok	19ae4455e82b2f43c53cbc7e46983bef2a579eafff4c988123744ae7b4f86623	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%275%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271990-JUN-15%2011:55:0.000000%27&STOP_TIME=%271990-JUN-15%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
pluto-bary-1990	ok	85f0a9c15d79835358febd3a4af338f660b332733c7e63fbb3bab5324dd19e34	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%279%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271990-JUN-15%2011:55:0.000000%27&STOP_TIME=%271990-JUN-15%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
pluto-bary-1700	ok	1139b566b6ff0ae355e75311717c99ab356c2a36db99c2816373bc463b9c4903	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%279%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271700-JAN-01%2011:55:0.000000%27&STOP_TIME=%271700-JAN-01%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
chiron-1990	ok	d17c3d78e49df19dea2d1e84850f553247bfdec0e9206ae7e0f1b9a88d67f0f3	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%272060%3B%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271990-JUN-15%2011:55:0.000000%27&STOP_TIME=%271990-JUN-15%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
earth-1990	error	319bc4762b84c2b5a2f5dc331bae8800d54efd180b72e4d287405e893a674317	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%27399%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271990-JUN-15%2011:55:0.000000%27&STOP_TIME=%271990-JUN-15%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
mars-1500	error	2a256b2dee8b7d6e961e526754ed3841491716024d44aebaefbb1e5faef24452	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%27499%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271500-JAN-01%2011:55:0.000000%27&STOP_TIME=%271500-JAN-01%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
pluto-1500	error	03697ff056080255e1456e85c994de433cf64ae7044a26d5361e09e413eabc5b	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%27999%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271500-JAN-01%2011:55:0.000000%27&STOP_TIME=%271500-JAN-01%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
pluto-1700	error	03697ff056080255e1456e85c994de433cf64ae7044a26d5361e09e413eabc5b	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%27999%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271700-JAN-01%2011:55:0.000000%27&STOP_TIME=%271700-JAN-01%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
err-unknown	error	6ed350e4b443ddd6af6a45e9b571f8ba3ab06fb2dd133d9821c9fb995f23ee50	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%279999999%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%271990-JUN-15%2011:55:0.000000%27&STOP_TIME=%271990-JUN-15%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
err-range	error	5d84253dced0ae2b3875ac03541cadb484fff47fb91a5ed614446792f17eb332	https://ssd.jpl.nasa.gov/api/horizons.api?format=text&COMMAND=%27999%27&OBJ_DATA=%27YES%27&MAKE_EPHEM=%27YES%27&TABLE_TYPE=%27OBSERVER%27&CENTER=%27500%27&START_TIME=%273500-JAN-01%2011:55:0.000000%27&STOP_TIME=%273500-JAN-01%2012:06:0.000000%27&STEP_SIZE=%275%20min%27&QUANTITIES=%2721,31%27&CSV_FORMAT=%27YES%27
